Temperature (K)   DeltaA (kJ/mol)
0.0                3.822620
20.0               3.801120
40.0               3.698520
60.0               3.547520
80.0               3.373720
100.0              3.188020
120.0              2.995320
140.0              2.798120
160.0              2.597720
180.0              2.395020
200.0              2.190720
220.0              1.985020
240.0              1.778220
260.0              1.570620
280.0              1.362220
300.0              1.153220
320.0              0.943720
340.0              0.733720
360.0              0.523320
380.0              0.312520
400.0              0.101620
