Temperature (K)   DeltaA (kJ/mol)
0.0                1.220110
20.0               1.210810
40.0               1.170010
60.0               1.113110
80.0               1.049810
100.0              0.983310
120.0              0.915110
140.0              0.845610
160.0              0.775310
180.0              0.704410
200.0              0.633210
220.0              0.561410
240.0              0.489410
260.0              0.417110
280.0              0.344610
300.0              0.271910
320.0              0.199110
340.0              0.126110
360.0              0.053010
380.0              -0.020290
400.0              -0.093490
