Temperature (K)   DeltaA (kJ/mol)
0.0                9.219720
20.0               9.196920
40.0               9.112420
60.0               9.006220
80.0               8.894720
100.0              8.781620
120.0              8.667820
140.0              8.553320
160.0              8.438220
180.0              8.322720
200.0              8.206720
220.0              8.090220
240.0              7.973420
260.0              7.856220
280.0              7.738620
300.0              7.620820
320.0              7.502720
340.0              7.384420
360.0              7.265820
380.0              7.147020
400.0              7.028220
