Temperature (K)   DeltaA (kJ/mol)
0.0                4.321100
20.0               4.296700
40.0               4.197100
60.0               4.061600
80.0               3.911600
100.0              3.754200
120.0              3.592500
140.0              3.427900
160.0              3.261200
180.0              3.093200
200.0              2.924200
220.0              2.754200
240.0              2.583600
260.0              2.412500
280.0              2.240900
300.0              2.069000
320.0              1.896800
340.0              1.724300
360.0              1.551500
380.0              1.378600
400.0              1.205600
