Temperature (K)   DeltaA (kJ/mol)
0.0                5.963510
20.0               5.939210
40.0               5.828010
60.0               5.670210
80.0               5.492910
100.0              5.306210
120.0              5.114410
140.0              4.919410
160.0              4.722210
180.0              4.523610
200.0              4.324010
220.0              4.123410
240.0              3.922210
260.0              3.720410
280.0              3.518110
300.0              3.315510
320.0              3.112610
340.0              2.909310
360.0              2.705810
380.0              2.502010
400.0              2.298110
