Temperature (K)   DeltaA (kJ/mol)
0.0                5.088160
20.0               5.078860
40.0               5.038060
60.0               4.985660
80.0               4.930560
100.0              4.874960
120.0              4.819260
140.0              4.763460
160.0              4.707660
180.0              4.651760
200.0              4.596060
220.0              4.540160
240.0              4.484160
260.0              4.428260
280.0              4.372160
300.0              4.316060
320.0              4.259960
340.0              4.203760
360.0              4.147460
380.0              4.091160
400.0              4.034860
