Temperature (K)   DeltaA (kJ/mol)
0.0                4.092930
20.0               4.085230
40.0               4.053930
60.0               4.021930
80.0               3.998430
100.0              3.983330
120.0              3.974930
140.0              3.971830
160.0              3.972930
180.0              3.977530
200.0              3.985130
220.0              3.995030
240.0              4.006730
260.0              4.020230
280.0              4.034930
300.0              4.050830
320.0              4.067630
340.0              4.085330
360.0              4.103530
380.0              4.122330
400.0              4.141830
