Temperature (K)   DeltaA (kJ/mol)
0.0                3.924210
20.0               3.910510
40.0               3.851110
60.0               3.773010
80.0               3.688710
100.0              3.601910
120.0              3.513910
140.0              3.425010
160.0              3.335610
180.0              3.245910
200.0              3.156110
220.0              3.066010
240.0              2.975810
260.0              2.885510
280.0              2.795110
300.0              2.704610
320.0              2.614110
340.0              2.523510
360.0              2.432710
380.0              2.342010
400.0              2.251310
