Temperature (K)   DeltaA (kJ/mol)
0.0                8.454730
20.0               8.429230
40.0               8.325730
60.0               8.181830
80.0               8.019030
100.0              7.845730
120.0              7.665730
140.0              7.480930
160.0              7.292730
180.0              7.102130
200.0              6.909430
220.0              6.715130
240.0              6.519530
260.0              6.322930
280.0              6.125330
300.0              5.927030
320.0              5.728030
340.0              5.528530
360.0              5.328530
380.0              5.128030
400.0              4.927430
