Temperature (K)   DeltaA (kJ/mol)
0.0                7.416050
20.0               7.395550
40.0               7.311150
60.0               7.192650
80.0               7.058750
100.0              6.916750
120.0              6.769950
140.0              6.620050
160.0              6.467850
180.0              6.314150
200.0              6.159350
220.0              6.003650
240.0              5.847150
260.0              5.690050
280.0              5.532550
300.0              5.374650
320.0              5.216450
340.0              5.057950
360.0              4.899150
380.0              4.740250
400.0              4.581250
