Temperature (K)   DeltaA (kJ/mol)
0.0                5.956020
20.0               5.947220
40.0               5.909320
60.0               5.857220
80.0               5.799020
100.0              5.737820
120.0              5.675120
140.0              5.611520
160.0              5.547520
180.0              5.483320
200.0              5.419220
220.0              5.355120
240.0              5.290920
260.0              5.226820
280.0              5.162720
300.0              5.098720
320.0              5.034720
340.0              4.970620
360.0              4.906520
380.0              4.842520
400.0              4.778520
