Temperature (K)   DeltaA (kJ/mol)
0.0                1.366630
20.0               1.361430
40.0               1.342230
60.0               1.323130
80.0               1.307230
100.0              1.293730
120.0              1.281930
140.0              1.271130
160.0              1.260930
180.0              1.251230
200.0              1.241830
220.0              1.232630
240.0              1.223430
260.0              1.214430
280.0              1.205430
300.0              1.196430
320.0              1.187430
340.0              1.178430
360.0              1.169230
380.0              1.160130
400.0              1.151030
