Temperature (K)   DeltaA (kJ/mol)
0.0                6.099050
20.0               6.083550
40.0               6.019050
60.0               5.941650
80.0               5.864750
100.0              5.789550
120.0              5.715950
140.0              5.643350
160.0              5.571450
180.0              5.500350
200.0              5.429850
220.0              5.359650
240.0              5.289750
260.0              5.220150
280.0              5.150650
300.0              5.081450
320.0              5.012250
340.0              4.943250
360.0              4.874250
380.0              4.805350
400.0              4.736650
