Temperature (K)   DeltaA (kJ/mol)
0.0                5.600620
20.0               5.593620
40.0               5.566320
60.0               5.542620
80.0               5.530320
100.0              5.528120
120.0              5.533620
140.0              5.545020
160.0              5.561020
180.0              5.580720
200.0              5.603420
220.0              5.628520
240.0              5.655520
260.0              5.684320
280.0              5.714320
300.0              5.745520
320.0              5.777620
340.0              5.810520
360.0              5.844020
380.0              5.878220
400.0              5.912920
