Temperature (K)   DeltaA (kJ/mol)
0.0                8.595100
20.0               8.571700
40.0               8.474100
60.0               8.340600
80.0               8.193100
100.0              8.038900
120.0              7.880900
140.0              7.720500
160.0              7.558400
180.0              7.395200
200.0              7.231300
220.0              7.066500
240.0              6.901200
260.0              6.735500
280.0              6.569400
300.0              6.403100
320.0              6.236400
340.0              6.069500
360.0              5.902400
380.0              5.735200
400.0              5.567900
