Folder   CrystalOptimizer_Utot (kJ/mol)   CrystalOptimizer_Density (g/cm3)
162        -65.21364                      1.267400                      
163        -65.17374                      1.235800                      
164        -65.03287                      1.296400                      
165        -64.99558                      1.351800                      
166        -64.96504                      1.359800                      
167        -64.96269                      1.251200                      
168        -64.89683                      1.264700                      
169        -64.86474                      1.331100                      
170        -64.85998                      1.276200                      
171        -64.85906                      1.305900                      
172        -64.82943                      1.308900                      
173        -64.80111                      1.367200                      
174        -64.76498                      1.273400                      
175        -64.74897                      1.301600                      
176        -64.64106                      1.266800                      
177        -64.63783                      1.244900                      
178        -64.61663                      1.274600                      
179        -64.59451                      1.275800                      
180        -64.58283                      1.250300                      
181        -64.57734                      1.350900                      
182        -64.49335                      1.330600                      
183        -64.47999                      1.335500                      
184        -64.45121                      1.277800                      
185        -64.43566                      1.266900                      
186        -64.40017                      1.367900                      
187        -64.38549                      1.255100                      
188        -64.37446                      1.251100                      
189        -64.35810                      1.290300                      
190        -64.33565                      1.256500                      
191        -64.33488                      1.302300                      
192        -64.31681                      1.299800                      
193        -64.30692                      1.256700                      
194        -64.29369                      1.290400                      
195        -64.24080                      1.223400                      
196        -64.22399                      1.360400                      
197        -64.17289                      1.341300                      
198        -64.14693                      1.291400                      
199        -64.07460                      1.282000                      
200        -64.07181                      1.373500                      
201        -64.06334                      1.382600                      
202        -64.04608                      1.267900                      
203        -64.04157                      1.300400                      
204        -64.03463                      1.242800                      
205        -64.02180                      1.247300                      
206        -64.00707                      1.328400                      
207        -64.00335                      1.290200                      
208        -63.98745                      1.351000                      
209        -63.96980                      1.266400                      
210        -63.92232                      1.220500                      
211        -63.91475                      1.276500                      
212        -63.86383                      1.354500                      
213        -63.84292                      1.225900                      
214        -63.83132                      1.364200                      
215        -63.80286                      1.268500                      
216        -63.79226                      1.223800                      
217        -63.74555                      1.320300                      
218        -63.71474                      1.250200                      
219        -63.68496                      1.247100                      
220        -63.68030                      1.236100                      
221        -63.66835                      1.294500                      
222        -63.66733                      1.306200                      
223        -63.65879                      1.244500                      
224        -63.61706                      1.217300                      
225        -63.61057                      1.266700                      
226        -63.59547                      1.173500                      
227        -63.59458                      1.343800                      
228        -63.59133                      1.351600                      
229        -63.58098                      1.246800                      
230        -63.55547                      1.307500                      
231        -63.51979                      1.271200                      
232        -63.47634                      1.288900                      
233        -63.44805                      1.261400                      
234        -63.44691                      1.339000                      
235        -63.43481                      1.245800                      
236        -63.43126                      1.337300                      
237        -63.43001                      1.287100                      
238        -63.37186                      1.360500                      
239        -63.23740                      1.289200                      
240        -63.22982                      1.342500                      
241        -63.21201                      1.314100                      
242        -63.20892                      1.225100                      
243        -63.20337                      1.363700                      
244        -63.19803                      1.325200                      
245        -63.17898                      1.200000                      
246        -63.17450                      1.222000                      
247        -63.16496                      1.280000                      
248        -63.13396                      1.239000                      
249        -63.11593                      1.197300                      
250        -63.00104                      1.237400                      
251        -62.95622                      1.248900                      
252        -62.94253                      1.253800                      
253        -62.92735                      1.288200                      
254        -62.89084                      1.223700                      
255        -62.89055                      1.250600                      
256        -62.88897                      1.299500                      
257        -62.87687                      1.245100                      
258        -62.87085                      1.242100                      
259        -62.84939                      1.334000                      
260        -62.84250                      1.373200                      
261        -62.83402                      1.224300                      
262        -62.73942                      1.268300                      
263        -62.73381                      1.249400                      
264        -62.73075                      1.234600                      
265        -62.72368                      1.253300                      
266        -62.69842                      1.319800                      
267        -62.68824                      1.342300                      
268        -62.67335                      1.295800                      
269        -62.65202                      1.272500                      
270        -62.65123                      1.327000                      
271        -62.61562                      1.277000                      
272        -62.61457                      1.263300                      
273        -62.60129                      1.195800                      
274        -62.58368                      1.275300                      
275        -62.55974                      1.230300                      
276        -62.53696                      1.280200                      
277        -62.53492                      1.223500                      
278        -62.49103                      1.326100                      
279        -62.46984                      1.166100                      
280        -62.45749                      1.272100                      
281        -62.45540                      1.229400                      
282        -62.45060                      1.248000                      
283        -62.40587                      1.224400                      
284        -62.40143                      1.238000                      
285        -62.39814                      1.191600                      
286        -62.38520                      1.284000                      
287        -62.34671                      1.203000                      
288        -62.32903                      1.342400                      
289        -62.31800                      1.249000                      
290        -62.31465                      1.276800                      
291        -62.29707                      1.216800                      
292        -62.28779                      1.264900                      
293        -62.26217                      1.359800                      
294        -62.22218                      1.330500                      
295        -62.19527                      1.326800                      
296        -62.18769                      1.333100                      
297        -62.18279                      1.310900                      
298        -62.16813                      1.268600                      
299        -62.14273                      1.289500                      
300        -62.10548                      1.261600                      
301        -62.10150                      1.234300                      
302        -62.08677                      1.245700                      
303        -62.02495                      1.253600                      
304        -62.01069                      1.265200                      
305        -61.98032                      1.296200                      
306        -61.96785                      1.274900                      
307        -61.96642                      1.271200                      
308        -61.96188                      1.185900                      
309        -61.95518                      1.191300                      
310        -61.95177                      1.324200                      
311        -61.94631                      1.271800                      
312        -61.92424                      1.257200                      
313        -61.90959                      1.278000                      
314        -61.89422                      1.143200                      
315        -61.88590                      1.229300                      
316        -61.83694                      1.190400                      
317        -61.83501                      1.247200                      
318        -61.82613                      1.351800                      
319        -61.80200                      1.232700                      
320        -61.74722                      1.320600                      
321        -61.74705                      1.270600                      
322        -61.74612                      1.295800                      
323        -61.74114                      1.180500                      
324        -61.74013                      1.284900                      
325        -61.69871                      1.259800                      
326        -61.69347                      1.234100                      
327        -61.67640                      1.151500                      
328        -61.66486                      1.279600                      
329        -61.65723                      1.342700                      
330        -61.65339                      1.274100                      
331        -61.64112                      1.251400                      
332        -61.62575                      1.206200                      
333        -61.60826                      1.138500                      
334        -61.60636                      1.202200                      
335        -61.56371                      1.284500                      
336        -61.56245                      1.228300                      
337        -61.55254                      1.301000                      
338        -61.55113                      1.271800                      
339        -61.54826                      1.209300                      
340        -61.52884                      1.215200                      
341        -61.52654                      1.229200                      
342        -61.52316                      1.303700                      
343        -61.51076                      1.237700                      
344        -61.50185                      1.317800                      
345        -61.49939                      1.211800                      
346        -61.48364                      1.260600                      
347        -61.44651                      1.221900                      
348        -61.43658                      1.298800                      
349        -61.39779                      1.267400                      
350        -61.37979                      1.217200                      
351        -61.35839                      1.387100                      
352        -61.34909                      1.346000                      
353        -61.34079                      1.241800                      
354        -61.33737                      1.230400                      
355        -61.33603                      1.269000                      
356        -61.33233                      1.185900                      
357        -61.32843                      1.244600                      
358        -61.30697                      1.261000                      
359        -61.29839                      1.318800                      
360        -61.29355                      1.255000                      
361        -61.24651                      1.253400                      
362        -61.20415                      1.335000                      
363        -61.17384                      1.240200                      
364        -61.16309                      1.122600                      
365        -61.15088                      1.208900                      
366        -61.15016                      1.220600                      
367        -61.11984                      1.199800                      
368        -61.11728                      1.270700                      
369        -61.09564                      1.276900                      
370        -61.07194                      1.211600                      
371        -61.06727                      1.243100                      
372        -61.06690                      1.237100                      
373        -61.03564                      1.332600                      
374        -61.01947                      1.273100                      
375        -61.01879                      1.167100                      
376        -61.01529                      1.281100                      
377        -60.98181                      1.219700                      
378        -60.98003                      1.287200                      
379        -60.94880                      1.253900                      
380        -60.94506                      1.228700                      
381        -60.94057                      1.251500                      
382        -60.93772                      1.229700                      
383        -60.92048                      1.214900                      
384        -60.92027                      1.244600                      
385        -60.91215                      1.241100                      
386        -60.90687                      1.197000                      
387        -60.90598                      1.257500                      
388        -60.90415                      1.275300                      
389        -60.86392                      1.259100                      
390        -60.86360                      1.246500                      
391        -60.85413                      1.232300                      
392        -60.84746                      1.266100                      
393        -60.83298                      1.294300                      
394        -60.83184                      1.283200                      
395        -60.81214                      1.196000                      
396        -60.79910                      1.324400                      
397        -60.79896                      1.178900                      
398        -60.77740                      1.298200                      
399        -60.77649                      1.255700                      
400        -60.76785                      1.228300                      
401        -60.72536                      1.278800                      
402        -60.71855                      1.319900                      
403        -60.70164                      1.339200                      
404        -60.69415                      1.295300                      
405        -60.67415                      1.225500                      
406        -60.66170                      1.215900                      
407        -60.65677                      1.267100                      
408        -60.63477                      1.220800                      
409        -60.61671                      1.247200                      
410        -60.60733                      1.221200                      
411        -60.60669                      1.356600                      
412        -60.60411                      1.340600                      
413        -60.58834                      1.303400                      
414        -60.58226                      1.320100                      
415        -60.57859                      1.170800                      
416        -60.57315                      1.160200                      
417        -60.55168                      1.216300                      
418        -60.54893                      1.257900                      
419        -60.54278                      1.130400                      
420        -60.53623                      1.321600                      
421        -60.51029                      1.283300                      
422        -60.50040                      1.210900                      
423        -60.48970                      1.272100                      
424        -60.45444                      1.215300                      
425        -60.45315                      1.310100                      
426        -60.43735                      1.171800                      
427        -60.43525                      1.332300                      
428        -60.42125                      1.298900                      
429        -60.41087                      1.266200                      
430        -60.39888                      1.181800                      
431        -60.37358                      1.210700                      
432        -60.34638                      1.235900                      
433        -60.32659                      1.306200                      
434        -60.32312                      1.253600                      
435        -60.32310                      1.291600                      
436        -60.31512                      1.240500                      
437        -60.30110                      1.236500                      
438        -60.29724                      1.229200                      
439        -60.27478                      1.290800                      
440        -60.24991                      1.244000                      
441        -60.21471                      1.237000                      
442        -60.21006                      1.259400                      
443        -60.18746                      1.198500                      
444        -60.16386                      1.184800                      
445        -60.14583                      1.334100                      
446        -60.14035                      1.258800                      
447        -60.13223                      1.354500                      
448        -60.12135                      1.244000                      
449        -60.10362                      1.279300                      
450        -60.09551                      1.240500                      
