Temperature (K)   DeltaA (kJ/mol)
0.0                5.881850
20.0               5.856450
40.0               5.727250
60.0               5.533650
80.0               5.311850
100.0              5.076650
120.0              4.833950
140.0              4.586450
160.0              4.335650
180.0              4.082650
200.0              3.827850
220.0              3.571550
240.0              3.314250
260.0              3.055950
280.0              2.796950
300.0              2.537350
320.0              2.277250
340.0              2.016650
360.0              1.755650
380.0              1.494350
400.0              1.232850
