Temperature (K)   DeltaA (kJ/mol)
0.0                3.767010
20.0               3.746710
40.0               3.660510
60.0               3.540710
80.0               3.406210
100.0              3.264010
120.0              3.117410
140.0              2.967910
160.0              2.816410
180.0              2.663510
200.0              2.509710
220.0              2.354810
240.0              2.199410
260.0              2.043410
280.0              1.886910
300.0              1.730110
320.0              1.572910
340.0              1.415510
360.0              1.257710
380.0              1.099810
400.0              0.941810
