Step Volume Press KinEng PotEng Enthalpy E_mol E_vdwl E_tail E_coul E_long 
2500200.00 27416.3008 5570.24023 1689.42175 1355.81616 5272.43506 1292.57385 108.066322 -6.20503235 31.6161098 -76.4401093
2500400.00 27416.3008 5362.96777 1714.14075 1344.40674 5202.86914 1295.36646 93.6248016 -6.20503235 31.8138714 -76.3982849
2500600.00 27416.3008 4952.26807 1638.37317 1345.47986 4963.96094 1261.96631 127.805931 -6.20503235 32.1345139 -76.4269638
2500800.00 27416.3008 6742.10645 1745.31445 1378.59924 5819.66846 1276.60400 146.304077 -6.20503235 32.0948563 -76.4036026
2501000.00 27416.3008 6558.25195 1703.30725 1339.64978 5665.19971 1278.28430 105.492722 -6.20503235 32.2928047 -76.4200592
2501200.00 27416.3008 7860.67773 1659.55627 1346.13135 6148.69043 1255.64001 134.595078 -6.20503235 32.3303413 -76.4340744
2501400.00 27416.3008 8309.18164 1687.03271 1407.13306 6416.49756 1316.86108 134.926605 -6.20503235 31.7588005 -76.4133987
2501600.00 27416.3008 8572.46387 1709.21301 1379.47742 6516.29297 1303.89368 119.802261 -6.20503235 32.1645012 -76.3830566
2501800.00 27416.3008 7370.78662 1683.39905 1299.88367 5930.40820 1251.63806 92.3705826 -6.20503235 32.2521477 -76.3771362
2502000.00 27416.3008 6961.23096 1702.86523 1315.33032 5801.56494 1285.04321 74.8304291 -6.20503235 31.8143044 -76.3575974
2502200.00 27416.3008 7964.14648 1640.81555 1434.15320 6259.34229 1351.76868 126.597649 -6.20503235 32.1381531 -76.3513718
2502400.00 27416.3008 7529.33789 1693.65674 1277.38733 5981.56396 1254.03052 67.4423370 -6.20503235 32.2496071 -76.3351593
2502600.00 27416.3008 6762.01611 1707.27136 1342.48242 5753.46924 1302.49365 84.1301956 -6.20503235 32.1904984 -76.3318634
2502800.00 27416.3008 6331.28711 1707.78479 1347.85278 5587.13086 1303.84534 88.1834259 -6.20503235 32.1482124 -76.3241806
2503000.00 27416.3008 4615.63672 1644.11475 1343.29541 4832.91992 1291.21118 96.6690979 -6.20503235 31.7410164 -76.3259354
2503200.00 27416.3008 5400.33545 1705.37256 1401.40564 5266.04102 1331.83191 115.073517 -6.20503235 30.9082451 -76.4080200
2503400.00 27416.3008 5011.52100 1668.63416 1353.37769 5025.81152 1296.98523 102.057823 -6.20503235 30.7248554 -76.3901138
2503600.00 27416.3008 6482.53809 1629.14685 1321.62085 5542.73682 1264.60962 102.798370 -6.20503235 30.6359711 -76.4231949
2503800.00 27416.3008 6747.08154 1700.56458 1365.33606 5763.64453 1306.18262 104.677116 -6.20503235 30.8893204 -76.4130478
2504000.00 27416.3008 6837.34424 1713.22156 1339.78064 5786.83643 1286.21765 98.2986069 -6.20503235 31.6231194 -76.3587189
2504200.00 27416.3008 5796.21338 1626.12158 1332.64185 5276.31348 1281.60254 95.8355789 -6.20503235 31.5897484 -76.3860397
2504400.00 27416.3008 5968.07568 1682.74048 1352.85596 5421.86377 1286.57800 111.387459 -6.20503235 31.2768383 -76.3862991
2504600.00 27416.3008 5175.88965 1669.26196 1396.48218 5135.26514 1328.56812 112.448029 -6.20503235 31.7893066 -76.3233032
2504800.00 27416.3008 5623.78760 1668.19177 1303.19653 5219.99609 1252.47424 95.0269623 -6.20503235 32.0301704 -76.3347702
2505000.00 27416.3008 4448.11816 1689.07776 1393.90222 4861.50928 1322.42493 116.084328 -6.20503235 31.7360897 -76.3431091
2505200.00 27416.3008 4426.94141 1685.49731 1403.00671 4858.56592 1326.14270 121.342216 -6.20503235 31.8776588 -76.3559494
2505400.00 27416.3008 3639.47266 1647.18738 1305.11682 4407.50586 1269.72705 80.0962219 -6.20503235 31.6061077 -76.3125076
2505600.00 27416.3008 4445.49756 1689.06482 1346.06128 4812.60791 1310.99780 79.9207001 -6.20503235 31.5130081 -76.3701782
2505800.00 27416.3008 5876.95947 1698.76074 1362.45483 5411.05078 1283.79529 123.277763 -6.20503235 31.7609844 -76.3793259
2506000.00 27416.3008 5975.95752 1672.76135 1351.96240 5414.14258 1286.85840 109.717773 -6.20503235 31.7668858 -76.3806534
2506200.00 27416.3008 5498.81104 1676.76086 1333.26282 5208.66064 1259.64954 118.408188 -6.20503235 31.6204624 -76.4153061
2506400.00 27416.3008 5259.95361 1706.70544 1373.96484 5183.80322 1323.61426 95.2134781 -6.20503235 31.5841732 -76.4470215
2506600.00 27416.3008 5081.77344 1641.31665 1369.75732 5042.96289 1323.24060 91.2595062 -6.20503235 31.6826935 -76.4255829
2506800.00 27416.3008 5880.72900 1690.29883 1343.58325 5385.22510 1289.34875 99.3993225 -6.20503235 31.2984352 -76.4631653
2507000.00 27416.3008 5253.76904 1689.69006 1392.30493 5182.65479 1346.20935 90.9016266 -6.20503235 31.6629524 -76.4691315
2507200.00 27416.3008 5685.74268 1648.44250 1371.42029 5293.24219 1324.87305 91.6138229 -6.20503235 31.3954582 -76.4621048
2507400.00 27416.3008 5488.89990 1651.68799 1350.81506 5197.17725 1292.23633 103.233261 -6.20503235 31.7627373 -76.4171906
2507600.00 27416.3008 5788.90527 1734.41223 1355.14661 5404.18701 1265.19360 134.285461 -6.20503235 32.0009842 -76.3334198
2507800.00 27416.3008 5032.72412 1691.17700 1382.31982 5085.77441 1311.34546 115.538757 -6.20503235 31.7691097 -76.3335495
2508000.00 27416.3008 5623.77832 1665.39905 1297.68286 5211.68604 1244.57959 97.6199493 -6.20503235 31.8536243 -76.3702927
2508200.00 27416.3008 5130.60156 1690.97119 1370.58594 5112.96973 1312.71924 102.357452 -6.20503235 31.8404331 -76.3311615
2508400.00 27416.3008 5235.14844 1727.06177 1325.31384 5145.59033 1257.26953 112.348152 -6.20503235 32.0233803 -76.3271332
2508600.00 27416.3008 3762.41528 1656.76843 1275.64246 4436.76953 1234.65063 85.4009171 -6.20503235 31.9087524 -76.3178940
2508800.00 27416.3008 4712.06299 1649.58716 1352.55554 4886.20752 1297.36780 99.8556290 -6.20503235 31.6842918 -76.3522186
2509000.00 27416.3008 5694.60986 1698.78235 1389.89209 5365.59961 1305.04724 129.507736 -6.20503235 31.7021294 -76.3650589
2509200.00 27416.3008 6000.77930 1676.78235 1324.87683 5401.00244 1279.84314 89.5112610 -6.20503235 31.8516407 -76.3291321
2509400.00 27416.3008 6176.92773 1659.27075 1337.02295 5466.06787 1271.40076 110.260231 -6.20503235 31.7177391 -76.3557358
2509600.00 27416.3008 6779.82812 1736.10193 1343.08704 5790.02588 1274.47815 113.064713 -6.20503235 31.9720631 -76.4279785
2509800.00 27416.3008 5915.56738 1603.22791 1409.24170 5377.74219 1315.44458 138.695953 -6.20503235 31.5558128 -76.4546127
2510000.00 27416.3008 5971.81689 1700.10632 1422.53455 5510.40381 1350.97327 117.180092 -6.20503235 30.8873291 -76.5061569
2510200.00 27416.3008 6134.60449 1690.06726 1369.03906 5511.95801 1301.50293 112.939651 -6.20503235 31.0449142 -76.4483566
2510400.00 27416.3008 6637.17773 1665.17932 1368.34314 5687.32227 1286.92297 126.193314 -6.20503235 31.6170731 -76.3902283
2510600.00 27416.3008 5627.35059 1737.84167 1376.38550 5364.25928 1322.81274 97.7631226 -6.20503235 32.1003647 -76.2906723
2510800.00 27416.3008 5824.07715 1700.39124 1390.77588 5419.85840 1304.96985 130.388962 -6.20503235 31.7149601 -76.2979584
2511000.00 27416.3008 4962.30176 1726.91443 1300.59375 5011.62793 1238.42175 106.508850 -6.20503235 31.9557133 -76.2925110
2511200.00 27416.3008 6041.94092 1672.87842 1357.67371 5446.35352 1282.10620 119.671600 -6.20503235 32.2002754 -76.3043518
2511400.00 27416.3008 4737.54297 1718.19324 1375.66858 4988.11426 1313.85974 105.475838 -6.20503235 32.6368141 -76.3038712
2511600.00 27416.3008 5358.98291 1661.92273 1337.49280 5142.14404 1247.82434 133.867447 -6.20503235 32.1033058 -76.3023987
2511800.00 27416.3008 3921.74780 1711.86987 1339.92432 4619.86035 1272.36951 112.163948 -6.20503235 31.7050648 -76.3142242
2512000.00 27416.3008 4344.63721 1666.46851 1381.02625 4784.64844 1324.13440 101.508522 -6.20503235 31.7178402 -76.3344803
2512200.00 27416.3008 5040.69141 1629.50146 1361.01550 5005.97998 1284.57910 120.925919 -6.20503235 31.8087139 -76.2982483
2512400.00 27416.3008 5986.05615 1642.28333 1330.49109 5366.23096 1262.84216 111.976692 -6.20503235 31.9892616 -76.3170471
2512600.00 27416.3008 5435.30713 1729.42395 1326.11255 5228.78223 1257.07166 113.680641 -6.20503235 31.7070141 -76.3469009
2512800.00 27416.3008 5906.36670 1689.52759 1320.75647 5371.87793 1247.21643 118.063293 -6.20503235 31.8574009 -76.3805923
2513000.00 27416.3008 5008.57227 1685.86877 1370.80115 5059.29053 1298.60620 116.723862 -6.20503235 31.8763905 -76.4053116
2513200.00 27416.3008 4941.66406 1688.62671 1400.34314 5064.83789 1320.67395 123.939308 -6.20503235 32.1008568 -76.3710327
2513400.00 27416.3008 3964.56470 1669.80798 1290.90491 4545.89893 1224.45715 110.558502 -6.20503235 32.2510300 -76.3617325
2513600.00 27416.3008 3610.77881 1727.12463 1363.21985 4534.07324 1302.72766 104.678642 -6.20503235 32.2200508 -76.4065399
2513800.00 27416.3008 4163.43994 1713.99194 1335.68689 4714.38281 1263.50378 116.831047 -6.20503235 31.7747478 -76.4226303
2514000.00 27416.3008 5061.53906 1668.93811 1351.94336 5044.68018 1280.88110 115.633980 -6.20503235 31.8520699 -76.4237671
2514200.00 27416.3008 5570.76758 1766.90222 1352.53748 5346.84766 1300.34033 97.2920914 -6.20503235 31.3594398 -76.4543304
2514400.00 27416.3008 4847.97705 1683.94885 1334.54211 4956.89941 1306.61047 72.9530106 -6.20503235 31.4725628 -76.4939346
2514600.00 27416.3008 5919.18359 1704.88892 1338.66626 5410.27344 1287.04089 96.6127090 -6.20503235 31.5125942 -76.4999390
2514800.00 27416.3008 5890.47070 1787.07910 1405.64038 5547.95752 1328.99243 122.216553 -6.20503235 30.9168015 -76.4853439
2515000.00 27416.3008 6703.63672 1730.96436 1335.77075 5747.10791 1281.33911 99.8730927 -6.20503235 31.0818729 -76.5233994
2515200.00 27416.3008 5565.85986 1639.68555 1361.58179 5226.71338 1319.31213 87.8828430 -6.20503235 30.8986588 -76.5118256
2515400.00 27416.3008 6243.71338 1688.99707 1417.03845 5602.51318 1351.18677 112.123062 -6.20503235 30.2477703 -76.5191422
2515600.00 27416.3008 5030.48389 1676.67041 1385.44653 5073.49902 1311.54480 120.095352 -6.20503235 30.3423252 -76.5359726
2515800.00 27416.3008 5570.60938 1690.62109 1326.61902 5244.58496 1280.64941 92.0657349 -6.20503235 30.4411392 -76.5373459
