Step Volume Press KinEng PotEng Enthalpy E_mol E_vdwl E_tail E_coul E_long 
2450200.00 29195.5391 3574.42798 1686.02478 1248.60498 4456.57471 1307.39185 -14.4725418 -5.82688427 31.4795856 -75.7938919
2450400.00 29195.5391 3320.64966 1692.61548 1267.48657 4373.99170 1319.32007 -7.27867460 -5.82688427 31.2939911 -75.8487778
2450600.00 29195.5391 3811.92285 1676.87366 1208.57935 4508.52002 1265.78589 -12.6907740 -5.82688427 31.3756714 -75.8913956
2450800.00 29195.5391 3580.11035 1700.90662 1231.86621 4457.13721 1301.37964 -25.0013542 -5.82688427 31.4015636 -75.9135895
2451000.00 29195.5391 3979.34912 1693.81128 1280.22949 4668.39600 1324.70020 0.462349713 -5.82688427 30.9560623 -75.8890610
2451200.00 29195.5391 3603.65698 1643.57886 1214.54285 4392.51221 1271.66870 -12.2382736 -5.82688427 31.0241127 -75.9116821
2451400.00 29195.5391 2734.06787 1702.03125 1212.22815 4078.38989 1267.78625 -10.8345652 -5.82688427 31.1338158 -75.8574295
2451600.00 29195.5391 2926.85767 1699.67126 1234.10889 4179.99805 1279.98975 -1.51260734 -5.82688427 31.4464149 -75.8145905
2451800.00 29195.5391 2631.92529 1714.08716 1236.16565 4070.89233 1301.19128 -21.2614784 -5.82688427 32.0103416 -75.7745743
2452000.00 29195.5391 3268.76904 1661.50696 1265.17249 4318.47900 1312.03455 -2.81141424 -5.82688427 31.7484951 -75.7990952
2452200.00 29195.5391 3001.52930 1734.37537 1224.89001 4237.27734 1276.76575 -7.65035868 -5.82688427 31.6043987 -75.8297348
2452400.00 29195.5391 3187.56689 1652.49756 1253.67700 4263.39941 1312.02100 -14.1561804 -5.82688427 31.6316261 -75.8194656
2452600.00 29195.5391 2970.78638 1623.50330 1243.20105 4131.62646 1291.46814 -3.98079395 -5.82688427 31.5330086 -75.8193130
2452800.00 29195.5391 3569.60229 1739.31921 1257.19385 4516.40332 1327.03894 -25.5714855 -5.82688427 31.5835114 -75.8571930
2453000.00 29195.5391 3886.19336 1653.91479 1236.54004 4545.14551 1295.13965 -14.4796457 -5.82688427 31.7440872 -75.8639603
2453200.00 29195.5391 4842.21924 1698.31287 1233.21863 4993.28564 1310.44507 -32.6223717 -5.82688427 31.2935104 -75.8975906
2453400.00 29195.5391 4574.29590 1705.18127 1294.75964 4947.61670 1343.14038 -3.82454515 -5.82688427 31.2777843 -75.8340302
2453600.00 29195.5391 3814.95044 1685.92151 1239.75403 4550.03174 1288.43396 -4.39732552 -5.82688427 31.5060444 -75.7887955
2453800.00 29195.5391 3130.02734 1706.49756 1188.17603 4227.39844 1262.55994 -30.4952335 -5.82688427 31.8888931 -75.7775345
2454000.00 29195.5391 3033.23462 1702.00549 1241.48425 4235.00146 1292.46521 -6.82475567 -5.82688427 31.6289291 -75.7852325
2454200.00 29195.5391 2894.21826 1689.52368 1265.45776 4187.30225 1310.41223 -0.684063494 -5.82688427 31.5143833 -75.7846527
2454400.00 29195.5391 3198.90967 1651.51697 1227.55383 4241.12500 1289.95764 -18.4312210 -5.82688427 31.7739429 -75.7465668
2454600.00 29195.5391 3047.12793 1699.92749 1223.00305 4220.35791 1289.10266 -21.5925579 -5.82688427 31.2905827 -75.7975998
2454800.00 29195.5391 4361.21533 1716.33521 1248.43359 4821.71777 1294.55688 -1.31366301 -5.82688427 31.0662251 -75.8758392
2455000.00 29195.5391 3572.18628 1696.32629 1299.02466 4516.34131 1355.04858 -11.2082243 -5.82688427 31.0075226 -75.8232193
2455200.00 29195.5391 4680.97998 1671.48547 1231.11499 4895.70117 1284.61865 -9.17951965 -5.82688427 31.4648361 -75.7888794
2455400.00 29195.5391 4636.98828 1682.75696 1285.47681 4942.60303 1344.08105 -13.8663187 -5.82688427 31.0838127 -75.8217392
2455600.00 29195.5391 5790.97070 1741.67090 1286.94324 5494.33398 1330.80823 0.295095950 -5.82688427 31.6631069 -75.8232193
2455800.00 29195.5391 4411.64307 1689.36694 1240.51001 4808.29736 1294.43726 -9.78945827 -5.82688427 31.6453667 -75.7831650
2456000.00 29195.5391 3086.49829 1699.25696 1238.65234 4252.10010 1306.89294 -24.1975784 -5.82688427 31.7395535 -75.7826691
2456200.00 29195.5391 2726.67188 1617.32178 1242.65857 4020.96191 1304.72205 -17.6981735 -5.82688427 31.4920425 -75.8571777
2456400.00 29195.5391 3458.55615 1700.58594 1234.24072 4407.43457 1294.59497 -15.9309158 -5.82688427 31.4191551 -75.8424835
2456600.00 29195.5391 3567.00757 1742.15698 1229.36121 4490.30371 1289.23645 -15.4629698 -5.82688427 31.4269524 -75.8393173
2456800.00 29195.5391 3110.18799 1672.60217 1229.25073 4226.13037 1291.35999 -17.5916214 -5.82688427 31.3375416 -75.8552856
2457000.00 29195.5391 3177.58838 1690.86963 1236.60547 4280.45068 1285.86963 -4.32962275 -5.82688427 30.9436207 -75.8781738
2457200.00 29195.5391 3062.87427 1709.72327 1289.08130 4302.93652 1339.37854 -5.52362156 -5.82688427 31.1295052 -75.9031372
2457400.00 29195.5391 3177.06421 1671.78967 1265.09973 4289.64209 1321.51636 -11.7294741 -5.82688427 31.1973457 -75.8845139
2457600.00 29195.5391 3312.51758 1661.80481 1233.93860 4306.17041 1289.84875 -11.3676233 -5.82688427 31.3307648 -75.8732910
2457800.00 29195.5391 2567.79761 1724.28821 1252.80200 4070.42505 1306.93213 -9.39274788 -5.82688427 31.1552219 -75.8926086
2458000.00 29195.5391 1273.17542 1671.04407 1267.81726 3480.96289 1326.38538 -13.9660521 -5.82688427 31.3107128 -75.9127655
2458200.00 29195.5391 1353.26794 1654.38452 1268.77356 3499.36182 1324.16736 -10.5421076 -5.82688427 31.0741367 -75.9257355
2458400.00 29195.5391 1952.21326 1756.56653 1240.14905 3827.94263 1303.29309 -18.2205982 -5.82688427 31.0313702 -75.9547806
2458600.00 29195.5391 3051.84668 1652.13147 1244.04736 4195.61572 1304.35095 -15.3117628 -5.82688427 30.9754620 -75.9671631
2458800.00 29195.5391 3838.34399 1687.35535 1257.72034 4579.39258 1319.92688 -17.2244167 -5.82688427 30.9886913 -75.9708939
2459000.00 29195.5391 4327.37988 1718.70215 1257.04565 4818.29004 1304.33887 -2.32233119 -5.82688427 30.9486465 -75.9194336
2459200.00 29195.5391 4153.89404 1695.58215 1184.58374 4648.84033 1253.89709 -24.4690189 -5.82688427 31.0680771 -75.9123917
2459400.00 29195.5391 3836.32422 1721.73669 1243.73230 4598.92578 1307.83472 -19.3692570 -5.82688427 31.1421795 -75.8752899
2459600.00 29195.5391 3360.35693 1678.30688 1284.11536 4393.21875 1344.99915 -16.1686287 -5.82688427 31.1434975 -75.8586502
2459800.00 29195.5391 3203.08105 1674.13000 1207.62390 4245.58398 1270.51917 -18.6998730 -5.82688427 31.6581917 -75.8536530
