Step Volume Press KinEng PotEng Enthalpy E_mol E_vdwl E_tail E_coul E_long 
3000200.00 30299.1562 3545.35376 1620.02686 1254.21716 4440.87256 1286.42261 12.2062607 -5.61464596 31.1446934 -75.5563965
3000400.00 30299.1562 2918.46191 1730.36670 1274.53931 4294.52197 1296.99829 21.4587326 -5.61464596 31.6470776 -75.5648651
3000600.00 30299.1562 3044.73950 1684.33777 1246.33093 4276.08447 1278.62476 12.1184158 -5.61464596 31.1510906 -75.5634460
3000800.00 30299.1562 2297.13599 1636.47290 1228.18909 3879.72534 1269.86316 2.67509961 -5.61464596 31.1823654 -75.5313950
3001000.00 30299.1562 2288.81665 1750.88208 1270.67102 4032.94019 1305.48303 9.33687210 -5.61464596 31.4058762 -75.5547638
3001200.00 30299.1562 1608.49072 1660.15186 1258.84216 3629.75732 1302.42578 0.512931585 -5.61464596 31.4814606 -75.5779953
3001400.00 30299.1562 1269.58374 1666.42834 1260.62280 3488.05762 1285.77795 19.1015854 -5.61464596 31.2772751 -75.5339737
3001600.00 30299.1562 1545.76160 1738.60754 1276.36584 3698.01758 1314.13953 6.59695768 -5.61464596 31.1409245 -75.5114975
3001800.00 30299.1562 2591.67847 1692.95728 1233.27698 4071.45068 1270.53320 7.12836170 -5.61464596 31.1569691 -75.5414658
3002000.00 30299.1562 3176.49292 1699.00940 1193.41968 4296.06445 1247.01050 -9.14396667 -5.61464596 31.1134510 -75.5602875
3002200.00 30299.1562 2814.50098 1674.43494 1283.11975 4201.23242 1311.25098 16.4244652 -5.61464596 30.9661312 -75.5217361
3002400.00 30299.1562 2687.26270 1680.64917 1281.80457 4149.90723 1308.50586 17.6879768 -5.61464596 31.1137066 -75.5029526
3002600.00 30299.1562 2266.48950 1692.50952 1211.58655 3905.61719 1263.63696 -7.47605515 -5.61464596 30.9580765 -75.5325317
3002800.00 30299.1562 2890.99707 1726.36267 1309.07202 4312.91455 1341.85486 11.5225391 -5.61464596 31.2413807 -75.5466843
3003000.00 30299.1562 1926.14807 1655.52954 1276.44775 3783.10767 1307.54565 13.1598301 -5.61464596 31.2570934 -75.5148697
3003200.00 30299.1562 2492.53540 1714.02075 1247.96716 4063.39478 1277.19470 15.0289507 -5.61464596 31.2793446 -75.5357971
3003400.00 30299.1562 2636.71582 1727.05115 1310.71545 4202.88428 1342.74243 12.4081650 -5.61464596 31.1119690 -75.5470047
3003600.00 30299.1562 3711.66382 1706.87085 1211.02710 4558.01562 1243.14124 12.4556580 -5.61464596 31.0490284 -75.6187668
3003800.00 30299.1562 2711.52051 1704.30127 1236.05444 4138.52832 1268.14966 12.7855186 -5.61464596 30.7049789 -75.5857773
3004000.00 30299.1562 3353.46436 1703.14246 1290.70532 4475.68359 1308.62854 26.8687649 -5.61464596 30.7544308 -75.5463943
3004200.00 30299.1562 2911.78760 1637.25806 1264.53784 4188.46289 1288.76697 20.4854336 -5.61464596 30.8439789 -75.5586090
3004400.00 30299.1562 3585.03198 1665.68652 1296.53992 4546.38770 1314.22034 26.5805798 -5.61464596 31.2326584 -75.4936218
3004600.00 30299.1562 2910.36548 1687.11951 1286.47949 4259.63770 1311.36816 19.6630459 -5.61464596 30.9427605 -75.4944763
3004800.00 30299.1562 3924.62158 1658.97412 1227.10657 4620.30078 1259.38770 12.2860126 -5.61464596 30.9307041 -75.4977798
3005000.00 30299.1562 3394.14966 1697.62964 1271.83154 4469.27490 1289.17200 27.5711098 -5.61464596 30.6258774 -75.5374374
3005200.00 30299.1562 3530.06421 1721.58142 1263.82666 4545.28027 1278.59668 30.3354836 -5.61464596 30.4846401 -75.5900726
3005400.00 30299.1562 2856.51758 1701.93616 1206.64307 4170.82324 1249.74365 1.59298289 -5.61464596 30.8883305 -75.5819550
3005600.00 30299.1562 3866.15479 1667.82922 1231.59119 4607.80518 1283.72485 -7.15453482 -5.61464596 30.6246052 -75.6037216
3005800.00 30299.1562 4589.16992 1689.50098 1264.24060 4981.61377 1277.95874 31.4083405 -5.61464596 30.4803295 -75.6067123
