Temperature (K)   DeltaA (kJ/mol)
0.0                6.446860
20.0               6.422660
40.0               6.303060
60.0               6.121160
80.0               5.907960
100.0              5.677460
120.0              5.436560
140.0              5.188760
160.0              4.936060
180.0              4.679860
200.0              4.421060
220.0              4.160060
240.0              3.897560
260.0              3.633760
280.0              3.368760
300.0              3.103060
320.0              2.836660
340.0              2.569560
360.0              2.301960
380.0              2.033960
400.0              1.765760
