Temperature (K)   DeltaA (kJ/mol)
0.0                5.089600
20.0               5.055800
40.0               4.922600
60.0               4.737200
80.0               4.526400
100.0              4.301400
120.0              4.067700
140.0              3.828000
160.0              3.584000
180.0              3.337000
200.0              3.087500
220.0              2.836000
240.0              2.583000
260.0              2.328800
280.0              2.073500
300.0              1.817400
320.0              1.560500
340.0              1.302900
360.0              1.044800
380.0              0.786300
400.0              0.527500
