Temperature (K)   DeltaA (kJ/mol)
0.0                4.354870
20.0               4.328370
40.0               4.210670
60.0               4.039770
80.0               3.843370
100.0              3.633470
120.0              3.415470
140.0              3.191970
160.0              2.964470
180.0              2.734170
200.0              2.501570
220.0              2.267170
240.0              2.031270
260.0              1.794170
280.0              1.556070
300.0              1.317270
320.0              1.077670
340.0              0.837470
360.0              0.596770
380.0              0.355570
400.0              0.114070
