Temperature (K)   DeltaA (kJ/mol)
0.0                8.827170
20.0               8.793870
40.0               8.656770
60.0               8.461070
80.0               8.236370
100.0              7.995470
120.0              7.744670
140.0              7.487170
160.0              7.225070
180.0              6.959570
200.0              6.691670
220.0              6.421570
240.0              6.149970
260.0              5.877170
280.0              5.603170
300.0              5.328370
320.0              5.052770
340.0              4.776570
360.0              4.499770
380.0              4.222570
400.0              3.945070
