Temperature (K)   DeltaA (kJ/mol)
0.0                5.899390
20.0               5.875990
40.0               5.776490
60.0               5.638490
80.0               5.483190
100.0              5.318590
120.0              5.148490
140.0              4.974590
160.0              4.797990
180.0              4.619490
200.0              4.439690
220.0              4.258690
240.0              4.076690
260.0              3.894090
280.0              3.710790
300.0              3.526990
320.0              3.342790
340.0              3.158190
360.0              2.973190
380.0              2.787990
400.0              2.602590
