Temperature (K)   DeltaA (kJ/mol)
0.0                3.893930
20.0               3.881730
40.0               3.822130
60.0               3.733530
80.0               3.630630
100.0              3.519930
120.0              3.404430
140.0              3.285630
160.0              3.164330
180.0              3.041430
200.0              2.917130
220.0              2.791730
240.0              2.665430
260.0              2.538530
280.0              2.410930
300.0              2.282830
320.0              2.154330
340.0              2.025330
360.0              1.896030
380.0              1.766430
400.0              1.636630
