Temperature (K)   DeltaA (kJ/mol)
0.0                8.553680
20.0               8.522580
40.0               8.398180
60.0               8.228380
80.0               8.039980
100.0              7.842380
120.0              7.639580
140.0              7.433180
160.0              7.224080
180.0              7.012980
200.0              6.800480
220.0              6.586580
240.0              6.371680
260.0              6.155880
280.0              5.939280
300.0              5.722180
320.0              5.504480
340.0              5.286280
360.0              5.067580
380.0              4.848580
400.0              4.629380
