Temperature (K)   DeltaA (kJ/mol)
0.0                5.282650
20.0               5.266750
40.0               5.191550
60.0               5.082150
80.0               4.957050
100.0              4.823650
120.0              4.685250
140.0              4.543650
160.0              4.399750
180.0              4.254450
200.0              4.108050
220.0              3.960650
240.0              3.812550
260.0              3.664050
280.0              3.514950
300.0              3.365550
320.0              3.215750
340.0              3.065750
360.0              2.915450
380.0              2.764850
400.0              2.614250
