Temperature (K)   DeltaA (kJ/mol)
0.0                6.127510
20.0               6.098210
40.0               5.986510
60.0               5.837210
80.0               5.674810
100.0              5.507610
120.0              5.338410
140.0              5.168310
160.0              4.997810
180.0              4.827310
200.0              4.657010
220.0              4.486610
240.0              4.316410
260.0              4.146310
280.0              3.976310
300.0              3.806410
320.0              3.636610
340.0              3.466810
360.0              3.297110
380.0              3.127510
400.0              2.958010
