Temperature (K)   DeltaA (kJ/mol)
0.0                4.346770
20.0               4.325870
40.0               4.223670
60.0               4.065970
80.0               3.880670
100.0              3.680870
120.0              3.472470
140.0              3.258270
160.0              3.039970
180.0              2.818770
200.0              2.595170
220.0              2.369670
240.0              2.142670
260.0              1.914570
280.0              1.685370
300.0              1.455370
320.0              1.224670
340.0              0.993270
360.0              0.761370
380.0              0.529070
400.0              0.296470
