Temperature (K)   DeltaA (kJ/mol)
0.0                7.288530
20.0               7.264630
40.0               7.162530
60.0               7.022530
80.0               6.869530
100.0              6.711630
120.0              6.551930
140.0              6.391630
160.0              6.231230
180.0              6.070930
200.0              5.911030
220.0              5.751230
240.0              5.591730
260.0              5.432430
280.0              5.273230
300.0              5.114330
320.0              4.955530
340.0              4.796830
360.0              4.638130
380.0              4.479530
400.0              4.321130
