Folder	CrystalPredictor_Ulatt(kJ/mol)	CrystalPredictor_Density(g/cm3)
1052	-52.4496	1.1475
1053	-52.4319	1.1749
1054	-52.4248	1.1809
1055	-52.4151	1.1691
1056	-52.4079	1.1797
1057	-52.3980	1.2052
1058	-52.3972	1.2303
1059	-52.3970	1.1464
1060	-52.3875	1.1949
1061	-52.3739	1.3161
1062	-52.3637	1.2419
1063	-52.3622	1.2037
1064	-52.3621	1.1090
1065	-52.3433	1.1022
1066	-52.3347	1.2214
1067	-52.3308	1.1756
1068	-52.3308	0.7320
1069	-52.3303	1.1484
1070	-52.3292	0.6758
1071	-52.3291	0.5647
1072	-52.3291	0.5342
1073	-52.3291	0.4342
1074	-52.3291	0.6035
1075	-52.3291	0.4609
1076	-52.3291	0.3161
1077	-52.3291	0.5021
1078	-52.3220	1.1973
1079	-52.3075	1.2398
1080	-52.3042	1.1149
1081	-52.2983	1.1090
1082	-52.2912	1.1646
1083	-52.2763	1.1420
1084	-52.2709	0.6826
1085	-52.2677	0.6466
1086	-52.2671	0.5828
1087	-52.2671	0.4798
1088	-52.2671	0.4512
1089	-52.2671	0.4112
1090	-52.2671	0.5352
1091	-52.2670	0.3057
1092	-52.2555	1.1750
1093	-52.2517	0.6116
1094	-52.2507	0.3713
1095	-52.2507	0.4699
1096	-52.2507	0.5287
1097	-52.2507	0.4100
1098	-52.2507	0.4953
1099	-52.2488	0.3149
1100	-52.2467	1.1072
1101	-52.2434	1.1452
1102	-52.2401	1.1311
1103	-52.2270	1.1685
1104	-52.2226	1.2148
1105	-52.2158	1.1926
1106	-52.1884	1.2613
1107	-52.1762	1.1518
1108	-52.1674	0.8771
1109	-52.1541	1.2034
1110	-52.1451	1.2306
1111	-52.1444	1.1776
1112	-52.1423	1.1626
1113	-52.1304	1.2891
1114	-52.1214	1.2082
1115	-52.1088	1.1478
1116	-52.1044	1.3115
1117	-52.0982	1.3103
1118	-52.0964	0.6199
1119	-52.0958	0.4329
1120	-52.0958	0.3514
1121	-52.0958	0.2837
1122	-52.0958	0.3979
1123	-52.0958	0.5358
1124	-52.0957	0.4815
1125	-52.0917	0.2383
1126	-52.0802	1.1616
1127	-52.0761	1.2129
1128	-52.0713	1.2247
1129	-52.0595	1.1781
1130	-52.0593	1.1115
1131	-52.0566	1.2361
1132	-52.0448	1.3044
1133	-52.0338	1.2334
1134	-52.0232	1.2232
1135	-52.0200	1.2232
1136	-52.0177	1.2241
1137	-52.0173	1.3081
1138	-52.0042	1.1858
1139	-52.0039	1.1721
1140	-51.9997	1.1039
1141	-51.9916	1.1456
1142	-51.9871	1.1409
1143	-51.9821	1.1876
1144	-51.9818	1.1656
1145	-51.9797	1.2350
1146	-51.9631	1.1944
1147	-51.9527	1.1838
1148	-51.9424	1.2021
1149	-51.9375	0.6411
1150	-51.9365	0.5568
1151	-51.9365	0.4886
1152	-51.9365	0.5202
1153	-51.9365	0.4493
1154	-51.9365	0.3688
1155	-51.9365	0.4118
1156	-51.9365	0.3167
1157	-51.9336	1.1610
1158	-51.9301	0.2698
1159	-51.9298	1.0389
1160	-51.9272	1.2138
1161	-51.9209	1.1342
1162	-51.9191	1.1579
1163	-51.9129	1.1867
1164	-51.9002	1.1861
1165	-51.8856	1.1742
1166	-51.8851	1.2086
1167	-51.8849	1.2562
1168	-51.8812	1.2253
1169	-51.8760	1.1781
1170	-51.8750	1.2553
1171	-51.8581	1.1116
1172	-51.8469	1.3064
1173	-51.8417	1.1805
1174	-51.8300	1.1830
1175	-51.8263	1.1881
1176	-51.8253	1.1992
1177	-51.8232	1.1384
1178	-51.8172	1.0890
1179	-51.8166	1.0995
1180	-51.8132	1.2006
1181	-51.8120	1.1965
1182	-51.8114	1.1691
1183	-51.8112	1.2061
1184	-51.8084	1.1488
1185	-51.8063	1.2206
1186	-51.8022	1.1350
1187	-51.7944	1.1653
1188	-51.7915	1.2312
