Folder	CrystalPredictor_Ulatt(kJ/mol)	CrystalPredictor_Density(g/cm3)
243	-59.2342	1.3098
244	-59.2339	1.3237
245	-59.2066	1.3105
246	-59.1860	1.2241
247	-59.1620	1.2691
248	-59.1485	1.2369
249	-59.1261	1.3297
250	-59.0930	1.2543
251	-59.0616	1.2568
252	-59.0585	1.2304
253	-59.0562	1.2587
254	-59.0553	1.2488
255	-59.0385	1.2132
256	-59.0303	1.2518
257	-59.0299	1.2573
258	-59.0236	1.2575
259	-59.0109	1.2840
260	-58.9913	1.3485
261	-58.9875	1.3378
262	-58.9732	1.2733
263	-58.9728	1.2496
264	-58.9658	1.3017
265	-58.9446	1.2962
266	-58.9350	1.2372
267	-58.9197	1.2375
268	-58.8591	1.2622
269	-58.8514	1.2455
270	-58.8485	1.3010
271	-58.8419	1.2201
272	-58.8366	1.2550
273	-58.8346	1.2235
274	-58.8260	1.2190
275	-58.8236	1.2348
276	-58.8154	1.3618
277	-58.8153	1.3155
278	-58.8116	1.2779
279	-58.8078	1.2205
280	-58.7918	1.2531
281	-58.7893	1.2232
282	-58.7711	1.3334
283	-58.7572	1.2456
284	-58.7568	1.2716
285	-58.7394	1.2786
286	-58.7330	1.3472
287	-58.7229	1.2583
288	-58.7099	1.2802
289	-58.6894	1.3210
290	-58.6823	1.2122
291	-58.6620	1.2294
292	-58.6571	1.2305
293	-58.6485	1.2061
294	-58.6365	1.3047
295	-58.6337	1.2451
296	-58.6208	1.2458
297	-58.6123	1.2195
298	-58.6091	1.2453
299	-58.6007	1.2670
300	-58.5897	1.2479
301	-58.5282	1.2135
302	-58.5187	1.2494
303	-58.5057	1.2365
304	-58.4990	1.2082
305	-58.4865	1.3026
306	-58.4748	1.2185
307	-58.4467	1.2640
308	-58.4404	1.2038
309	-58.4338	1.2898
310	-58.4263	1.2343
311	-58.4132	1.3766
312	-58.4037	1.3063
313	-58.3888	1.2169
314	-58.3795	1.2651
315	-58.3450	1.1957
316	-58.3233	1.1979
317	-58.3187	1.2489
318	-58.3183	1.2097
319	-58.3180	1.3192
320	-58.2868	1.2134
321	-58.2696	1.1928
322	-58.2669	1.3081
323	-58.2582	1.2109
324	-58.2282	1.3166
325	-58.2110	1.2148
326	-58.2044	1.2443
327	-58.1884	1.2552
328	-58.1739	1.2383
329	-58.1731	1.2726
330	-58.1321	1.2360
331	-58.1210	1.2008
332	-58.1195	1.2443
333	-58.1020	1.2455
334	-58.1005	1.2720
335	-58.0915	1.2119
336	-58.0785	1.3067
337	-58.0706	1.2272
338	-58.0597	1.2662
339	-58.0507	1.1923
340	-58.0341	1.2336
341	-58.0262	1.2504
342	-58.0209	1.2271
343	-58.0108	1.2997
344	-57.9957	1.2038
345	-57.9900	1.2052
346	-57.9890	1.2135
347	-57.9881	1.2546
348	-57.9772	1.2998
349	-57.9772	1.1898
350	-57.9574	1.2263
351	-57.9523	1.2563
352	-57.9359	1.3824
353	-57.9247	1.2675
354	-57.9115	1.2496
355	-57.9076	1.3533
356	-57.8994	1.1858
357	-57.8881	1.2911
358	-57.8855	1.2442
359	-57.8764	1.2512
360	-57.8634	1.2044
361	-57.8395	1.2813
362	-57.8306	1.1982
363	-57.8256	1.2414
364	-57.8150	1.3177
365	-57.7856	1.2774
366	-57.7790	1.2607
367	-57.7412	1.2210
368	-57.7379	1.1743
369	-57.7289	1.1675
370	-57.7081	1.2403
371	-57.7081	1.2663
372	-57.6470	1.2741
373	-57.6355	1.1954
374	-57.6273	1.2007
375	-57.5934	1.2298
376	-57.5459	1.2213
377	-57.5373	1.2335
378	-57.5266	1.2882
379	-57.5201	1.2833
380	-57.5082	1.2391
381	-57.4998	1.1717
382	-57.4687	1.2062
383	-57.4595	1.2232
384	-57.4585	1.1571
385	-57.4500	1.2778
386	-57.4475	1.2778
387	-57.4436	1.2096
388	-57.4366	1.1969
389	-57.4360	1.2118
390	-57.4052	1.1694
391	-57.4039	1.2155
392	-57.3916	1.1764
393	-57.3903	1.1563
394	-57.3724	1.2054
395	-57.3680	1.2698
396	-57.3506	1.2158
397	-57.3421	1.2109
398	-57.3346	1.2115
399	-57.3328	1.2142
400	-57.3206	1.2595
401	-57.3202	1.2275
402	-57.3173	1.2177
403	-57.3171	1.2282
404	-57.3144	1.2181
405	-57.3082	1.2103
406	-57.2746	1.2028
407	-57.2632	1.2678
408	-57.2630	1.2407
409	-57.2620	1.2504
410	-57.2563	1.2618
411	-57.2558	1.3434
412	-57.2550	1.1845
413	-57.2534	1.1851
414	-57.2500	1.2357
415	-57.2467	1.2219
416	-57.2368	1.3403
417	-57.2166	1.2845
418	-57.2108	1.2126
419	-57.1864	1.2176
420	-57.1847	1.2309
421	-57.1831	1.2123
422	-57.1795	1.2068
423	-57.1615	1.2238
424	-57.1517	1.3122
425	-57.1360	1.2154
426	-57.1311	1.1758
427	-57.1306	1.1964
