Temperature (K)   DeltaA (kJ/mol)
0.0                2.056160
20.0               2.032160
40.0               1.929160
60.0               1.788260
80.0               1.631160
100.0              1.465560
120.0              1.294960
140.0              1.120960
160.0              0.944360
180.0              0.766060
200.0              0.586260
220.0              0.405360
240.0              0.223460
260.0              0.040760
280.0              -0.142540
300.0              -0.326340
320.0              -0.510640
340.0              -0.695340
360.0              -0.880440
380.0              -1.065840
400.0              -1.251340
