Temperature (K)   DeltaA (kJ/mol)
0.0                7.685480
20.0               7.664280
40.0               7.573180
60.0               7.448580
80.0               7.311680
100.0              7.169780
120.0              7.025280
140.0              6.879380
160.0              6.732380
180.0              6.584780
200.0              6.436880
220.0              6.288480
240.0              6.139880
260.0              5.991080
280.0              5.841980
300.0              5.692880
320.0              5.543680
340.0              5.394280
360.0              5.244780
380.0              5.095180
400.0              4.945680
