Temperature (K)   DeltaA (kJ/mol)
0.0                1.507660
20.0               1.498960
40.0               1.463260
60.0               1.416760
80.0               1.367360
100.0              1.317160
120.0              1.266660
140.0              1.215960
160.0              1.165060
180.0              1.114160
200.0              1.063260
220.0              1.012260
240.0              0.961160
260.0              0.910060
280.0              0.858860
300.0              0.807760
320.0              0.756560
340.0              0.705260
360.0              0.653960
380.0              0.602660
400.0              0.551460
