Temperature (K)   DeltaA (kJ/mol)
0.0                7.119050
20.0               7.099350
40.0               7.019150
60.0               6.905750
80.0               6.776150
100.0              6.637350
120.0              6.492950
140.0              6.344750
160.0              6.193850
180.0              6.041150
200.0              5.887150
220.0              5.731950
240.0              5.575950
260.0              5.419250
280.0              5.261950
300.0              5.104150
320.0              4.945950
340.0              4.787350
360.0              4.628450
380.0              4.469250
400.0              4.309950
