Temperature (K)   DeltaA (kJ/mol)
0.0                7.485150
20.0               7.480350
40.0               7.461250
60.0               7.446750
80.0               7.444250
100.0              7.453150
120.0              7.471250
140.0              7.496450
160.0              7.527350
180.0              7.562950
200.0              7.602350
220.0              7.644650
240.0              7.689550
260.0              7.736650
280.0              7.785350
300.0              7.835650
320.0              7.887150
340.0              7.939750
360.0              7.993050
380.0              8.047250
400.0              8.102150
