Temperature (K)   DeltaA (kJ/mol)
0.0                8.446900
20.0               8.412100
40.0               8.285500
60.0               8.112000
80.0               7.915800
100.0              7.707000
120.0              7.490600
140.0              7.268900
160.0              7.043500
180.0              6.815500
200.0              6.585400
220.0              6.353600
240.0              6.120600
260.0              5.886500
280.0              5.651400
300.0              5.415700
320.0              5.179400
340.0              4.942600
360.0              4.705300
380.0              4.467600
400.0              4.229700
