Temperature (K)   DeltaA (kJ/mol)
0.0                6.603250
20.0               6.577250
40.0               6.481750
60.0               6.359550
80.0               6.229050
100.0              6.095550
120.0              5.960950
140.0              5.825650
160.0              5.690250
180.0              5.554850
200.0              5.419550
220.0              5.284250
240.0              5.149150
260.0              5.014050
280.0              4.878950
300.0              4.743950
320.0              4.609050
340.0              4.474050
360.0              4.339050
380.0              4.203950
400.0              4.069050
