Temperature (K)   DeltaA (kJ/mol)
0.0                1.565920
20.0               1.548220
40.0               1.469220
60.0               1.355520
80.0               1.226920
100.0              1.091520
120.0              0.952420
140.0              0.811120
160.0              0.668420
180.0              0.524920
200.0              0.380920
220.0              0.236420
240.0              0.091520
260.0              -0.053480
280.0              -0.198680
300.0              -0.344080
320.0              -0.489480
340.0              -0.635080
360.0              -0.780780
380.0              -0.926580
400.0              -1.072280
