Temperature (K)   DeltaA (kJ/mol)
0.0                7.269010
20.0               7.242710
40.0               7.124310
60.0               6.953310
80.0               6.757610
100.0              6.548810
120.0              6.332710
140.0              6.111610
160.0              5.887210
180.0              5.660510
200.0              5.432110
220.0              5.202310
240.0              4.971310
260.0              4.739510
280.0              4.507010
300.0              4.273810
320.0              4.040210
340.0              3.806110
360.0              3.571510
380.0              3.336610
400.0              3.101610
