Temperature (K)   DeltaA (kJ/mol)
0.0                5.690920
20.0               5.663920
40.0               5.560320
60.0               5.424720
80.0               5.275720
100.0              5.119520
120.0              4.958920
140.0              4.795120
160.0              4.629120
180.0              4.461520
200.0              4.292620
220.0              4.122720
240.0              3.951820
260.0              3.780420
280.0              3.608220
300.0              3.435620
320.0              3.262620
340.0              3.089220
360.0              2.915420
380.0              2.741320
400.0              2.567120
