Temperature (K)   DeltaA (kJ/mol)
0.0                4.859810
20.0               4.843110
40.0               4.776910
60.0               4.699510
80.0               4.625110
100.0              4.555610
120.0              4.490610
140.0              4.429210
160.0              4.370710
180.0              4.314710
200.0              4.260710
220.0              4.208310
240.0              4.157310
260.0              4.107410
280.0              4.058410
300.0              4.010210
320.0              3.962610
340.0              3.915510
360.0              3.868810
380.0              3.822410
400.0              3.776510
