Temperature (K)   DeltaA (kJ/mol)
0.0                9.019490
20.0               9.000890
40.0               8.929690
60.0               8.837090
80.0               8.736490
100.0              8.631990
120.0              8.525190
140.0              8.416690
160.0              8.307090
180.0              8.196690
200.0              8.085690
220.0              7.973990
240.0              7.861790
260.0              7.749290
280.0              7.636390
300.0              7.523190
320.0              7.409790
340.0              7.295990
360.0              7.182090
380.0              7.067890
400.0              6.953590
