Temperature (K)   DeltaA (kJ/mol)
0.0                2.877630
20.0               2.854530
40.0               2.752430
60.0               2.607430
80.0               2.442130
100.0              2.266130
120.0              2.083730
140.0              1.897030
160.0              1.707430
180.0              1.515830
200.0              1.322730
220.0              1.128230
240.0              0.932730
260.0              0.736530
280.0              0.539530
300.0              0.342130
320.0              0.144230
340.0              -0.054170
360.0              -0.252870
380.0              -0.451870
400.0              -0.651070
