Temperature (K)   DeltaA (kJ/mol)
0.0                8.849140
20.0               8.820340
40.0               8.694340
60.0               8.515640
80.0               8.311640
100.0              8.093840
120.0              7.867940
140.0              7.636740
160.0              7.401940
180.0              7.164540
200.0              6.925440
220.0              6.684840
240.0              6.443040
260.0              6.200440
280.0              5.957140
300.0              5.713240
320.0              5.468840
340.0              5.224040
360.0              4.978840
380.0              4.733340
400.0              4.487840
