Temperature (K)   DeltaA (kJ/mol)
0.0                6.202840
20.0               6.171140
40.0               6.054340
60.0               5.897440
80.0               5.723340
100.0              5.540440
120.0              5.352440
140.0              5.160840
160.0              4.966640
180.0              4.770640
200.0              4.573140
220.0              4.374440
240.0              4.174740
260.0              3.974240
280.0              3.773040
300.0              3.571240
320.0              3.369040
340.0              3.166340
360.0              2.963240
380.0              2.759840
400.0              2.556340
