Temperature (K)   DeltaA (kJ/mol)
0.0                4.694650
20.0               4.683250
40.0               4.628150
60.0               4.548550
80.0               4.457050
100.0              4.358950
120.0              4.256650
140.0              4.151450
160.0              4.044050
180.0              3.935150
200.0              3.825150
220.0              3.714150
240.0              3.602250
260.0              3.489850
280.0              3.376850
300.0              3.263450
320.0              3.149550
340.0              3.035350
360.0              2.920850
380.0              2.806150
400.0              2.691250
