Temperature (K)   DeltaA (kJ/mol)
0.0                7.338850
20.0               7.319750
40.0               7.234250
60.0               7.114850
80.0               6.980950
100.0              6.839650
120.0              6.693850
140.0              6.545050
160.0              6.394150
180.0              6.241650
200.0              6.088050
220.0              5.933450
240.0              5.778050
260.0              5.622150
280.0              5.465550
300.0              5.308550
320.0              5.151150
340.0              4.993450
360.0              4.835350
380.0              4.677050
400.0              4.518550
