Temperature (K)   DeltaA (kJ/mol)
0.0                4.542660
20.0               4.512160
40.0               4.400860
60.0               4.258260
80.0               4.105160
100.0              3.947360
120.0              3.787260
140.0              3.625660
160.0              3.463260
180.0              3.300460
200.0              3.137360
220.0              2.974060
240.0              2.810460
260.0              2.646960
280.0              2.483160
300.0              2.319460
320.0              2.155660
340.0              1.991660
360.0              1.827660
380.0              1.663660
400.0              1.499660
