Temperature (K)   DeltaA (kJ/mol)
0.0                8.925410
20.0               8.896810
40.0               8.784510
60.0               8.635910
80.0               8.473910
100.0              8.306010
120.0              8.134910
140.0              7.961610
160.0              7.786810
180.0              7.611110
200.0              7.434610
220.0              7.257310
240.0              7.079510
260.0              6.901210
280.0              6.722610
300.0              6.543710
320.0              6.364410
340.0              6.184910
360.0              6.005210
380.0              5.825210
400.0              5.645210
