Temperature (K)   DeltaA (kJ/mol)
0.0                8.892860
20.0               8.849160
40.0               8.666160
60.0               8.407560
80.0               8.113760
100.0              7.801760
120.0              7.479160
140.0              7.149760
160.0              6.815560
180.0              6.478160
200.0              6.138360
220.0              5.796460
240.0              5.453160
260.0              5.108560
280.0              4.763060
300.0              4.416660
320.0              4.069660
340.0              3.722060
360.0              3.373860
380.0              3.025360
400.0              2.676560
