Temperature (K)   DeltaA (kJ/mol)
0.0                5.249520
20.0               5.227420
40.0               5.126220
60.0               4.979120
80.0               4.808820
100.0              4.625820
120.0              4.434820
140.0              4.238620
160.0              4.038520
180.0              3.835720
200.0              3.630920
220.0              3.424320
240.0              3.216420
260.0              3.007520
280.0              2.797620
300.0              2.587020
320.0              2.375720
340.0              2.163920
360.0              1.951620
380.0              1.738820
400.0              1.525820
