Temperature (K)   DeltaA (kJ/mol)
0.0                7.251020
20.0               7.220020
40.0               7.092220
60.0               6.918820
80.0               6.725820
100.0              6.522920
120.0              6.314120
140.0              6.101520
160.0              5.886320
180.0              5.669220
200.0              5.450820
220.0              5.231220
240.0              5.010820
260.0              4.789820
280.0              4.568220
300.0              4.346120
320.0              4.123720
340.0              3.901020
360.0              3.677920
380.0              3.454620
400.0              3.231320
