Temperature (K)   DeltaA (kJ/mol)
0.0                8.939540
20.0               8.925740
40.0               8.877440
60.0               8.819440
80.0               8.760940
100.0              8.703440
120.0              8.647040
140.0              8.591540
160.0              8.536740
180.0              8.482740
200.0              8.429340
220.0              8.376240
240.0              8.323540
260.0              8.271240
280.0              8.219040
300.0              8.167240
320.0              8.115440
340.0              8.063840
360.0              8.012340
380.0              7.960940
400.0              7.909740
