Temperature (K)   DeltaA (kJ/mol)
0.0                7.439220
20.0               7.397820
40.0               7.234220
60.0               7.012820
80.0               6.766020
100.0              6.505620
120.0              6.237120
140.0              5.963120
160.0              5.685320
180.0              5.404920
200.0              5.122420
220.0              4.838220
240.0              4.552720
260.0              4.266220
280.0              3.978820
300.0              3.690720
320.0              3.401920
340.0              3.112520
360.0              2.822720
380.0              2.532420
400.0              2.241920
