Temperature (K)   DeltaA (kJ/mol)
0.0                8.600740
20.0               8.584040
40.0               8.506440
60.0               8.400740
80.0               8.286540
100.0              8.169240
120.0              8.050540
140.0              7.931040
160.0              7.810840
180.0              7.690240
200.0              7.569240
220.0              7.447940
240.0              7.326340
260.0              7.204440
280.0              7.082340
300.0              6.960040
320.0              6.837540
340.0              6.714840
360.0              6.591940
380.0              6.468940
400.0              6.345840
