Temperature (K)   DeltaA (kJ/mol)
0.0                9.255500
20.0               9.210800
40.0               9.062900
60.0               8.873600
80.0               8.668500
100.0              8.455700
120.0              8.238500
140.0              8.018200
160.0              7.795600
180.0              7.571400
200.0              7.345900
220.0              7.119400
240.0              6.892000
260.0              6.663900
280.0              6.435100
300.0              6.205900
320.0              5.976300
340.0              5.746200
360.0              5.515800
380.0              5.285000
400.0              5.054200
