Temperature (K)   DeltaA (kJ/mol)
0.0                5.511140
20.0               5.481140
40.0               5.328140
60.0               5.097340
80.0               4.831340
100.0              4.547540
120.0              4.253740
140.0              3.953540
160.0              3.649040
180.0              3.341540
200.0              3.031740
220.0              2.720240
240.0              2.407340
260.0              2.093340
280.0              1.778440
300.0              1.462940
320.0              1.146840
340.0              0.830240
360.0              0.513140
380.0              0.195740
400.0              -0.121860
