Temperature (K)   DeltaA (kJ/mol)
0.0                8.553290
20.0               8.521890
40.0               8.405190
60.0               8.247990
80.0               8.073890
100.0              7.891590
120.0              7.704990
140.0              7.515690
160.0              7.324690
180.0              7.132590
200.0              6.939890
220.0              6.746590
240.0              6.552890
260.0              6.358890
280.0              6.164590
300.0              5.970190
320.0              5.775590
340.0              5.580790
360.0              5.385890
380.0              5.190790
400.0              4.995790
