Temperature (K)   DeltaA (kJ/mol)
0.0                7.501650
20.0               7.470450
40.0               7.341350
60.0               7.159950
80.0               6.953950
100.0              6.734750
120.0              6.507550
140.0              6.275050
160.0              6.038750
180.0              5.799850
200.0              5.558950
220.0              5.316350
240.0              5.072450
260.0              4.827550
280.0              4.581750
300.0              4.335250
320.0              4.088150
340.0              3.840450
360.0              3.592250
380.0              3.343750
400.0              3.095050
