Temperature (K)   DeltaA (kJ/mol)
0.0                9.102750
20.0               9.088250
40.0               9.028850
60.0               8.955150
80.0               8.880750
100.0              8.808150
120.0              8.737450
140.0              8.668050
160.0              8.599650
180.0              8.532050
200.0              8.464950
220.0              8.398250
240.0              8.331850
260.0              8.265650
280.0              8.199650
300.0              8.133650
320.0              8.067850
340.0              8.002050
360.0              7.936150
380.0              7.870350
400.0              7.804650
